abreviation,designation
card,cardinal
cdt,commandant
cmmdt,commandant
doct,docteur
gal,général
gen,général
mal,maréchal
mar,maréchal
pdt,président
pres,président
prof,professeur
res,résidence
st,saint
ste,sainte
